epoch_ms,c2s_bytes,s2c_bytes,rtt_us,rttvar_us,throughput_Bps,status,algorithm,buffer_size,cwnd,ssthresh
1764782198675,0,0,296,145,0,OK,CUBIC,-1,10,300
1764782199179,0,1,2754188,644295,1,OK,CUBIC,-1,10,300
1764782202436,167984,167984,453,1043472,103152,OK,CUBIC,-1,13,300
1764782202941,954448,954448,70918,630418,3114708,OK,CUBIC,-1,20,300
1764782203516,3629172,3117172,103,411573,8412953,OK,CUBIC,-1,10,300
1764782204020,3629172,3117172,136,231517,0,OK,CUBIC,-1,11,300
1764782204533,3629172,3117172,143,130232,0,OK,CUBIC,-1,11,300
1764782205037,3629172,3117172,138,73257,0,OK,CUBIC,-1,11,300
1764782205541,3629172,3117172,377,41269,0,OK,CUBIC,-1,11,300
1764782206045,3629172,3117172,129,23261,0,OK,CUBIC,-1,11,300
1764782206550,3629172,3117172,115,13092,0,OK,CUBIC,-1,11,300
1764782207054,3629172,3117172,132,7371,0,OK,CUBIC,-1,11,300
1764782207558,3629172,3117172,124,4150,0,OK,CUBIC,-1,11,300
1764782208062,3629172,3117172,128,2335,0,OK,CUBIC,-1,11,300
1764782208566,3629172,3117172,136,1318,0,OK,CUBIC,-1,11,300
